Sample,Area (µm2),Mean
Smooth,2.32815,5808
Smooth,1.16408,5485
Smooth,16.29708,6278.64286
Smooth,1.16408,5485
Smooth,1.16408,6239
Smooth,174.61159,16367.20667
Smooth,1.16408,5595
Smooth,1.16408,5925
Smooth,4.65631,7180.5
Smooth,4.65631,6593.5
Smooth,8.14854,6843.57143
Smooth,11.64077,7236.8
Smooth,1.16408,6029
Smooth,13.96893,8393.5
Smooth,1.16408,5450
Smooth,1.16408,6411
Smooth,1.16408,7006
Smooth,1.16408,6717
Smooth,40.7427,10616.17143
Smooth,1.16408,5745
Smooth,5.82039,8088.2
Smooth,1.16408,7313
Smooth,2.32815,6010
Smooth,9.31262,7318.125
Smooth,4.65631,9515
Smooth,64.02425,12059.92727
Smooth,2.32815,5561
Smooth,2.32815,6562
Smooth,6.98446,7908.66667
Smooth,5.82039,6912.8
Smooth,2.32815,5982
Smooth,11.64077,9123
Smooth,1.16408,6287
Smooth,8.14854,7315.28571
Smooth,3.49223,6472.33333
Smooth,17.46116,8279
Smooth,1.16408,5541
Smooth,1.16408,5839
Smooth,5.82039,7629.8
Smooth,5.82039,7788.2
Smooth,25.6097,10430.81818
Smooth,1.16408,6476
Smooth,72.17279,11193.03226
Smooth,1.16408,6006
Smooth,11.64077,7706.7
Smooth,1.16408,5541
Smooth,11.64077,8216.5
Smooth,2.32815,6540
Smooth,2.32815,5550
Smooth,71.00871,17249.78689
Smooth,2.32815,6155.5
Smooth,1.16408,5557
Smooth,5.82039,7598.8
Smooth,1.16408,5485
Smooth,3.49223,6428.66667
Smooth,2.32815,5684.5
Smooth,1.16408,5456
Smooth,1.16408,5609
Smooth,53.54755,15104.1087
Smooth,15.133,6756.53846
Smooth,1.16408,6165
Smooth,12.80485,8291.81818
Smooth,2.32815,6244
Smooth,1.16408,5556
Smooth,25.6097,7272.45455
Smooth,2.32815,7032
Smooth,3.49223,8033.33333
Smooth,20.95339,9943.83333
Smooth,1.16408,6390
Smooth,1.16408,5737
Smooth,9.31262,8229.625
Smooth,10.4767,6182.11111
Smooth,1.16408,6449
Smooth,1.16408,5628
Smooth,1.16408,5523
Smooth,1.16408,6165
Smooth,4.65631,8229.5
Smooth,1.16408,7103
Smooth,6.98446,8032.83333
Smooth,1.16408,5572
Smooth,1.16408,8585
Smooth,1.16408,6625
Smooth,1.16408,5461
Smooth,2.32815,6057
Smooth,29.10193,9790.96
Smooth,13.96893,7127.91667
Smooth,4.65631,6544.5
Smooth,3.49223,7194.66667
Smooth,3.49223,9648.33333
Smooth,4.65631,7473
Smooth,2.32815,7520.5
